溶湯処理・取鍋添加,C,Si,Mn,P,S,Ni,Cr,Mo,Ti,V,Cu,W,Sn,Al,Mg,Zn,Fe
OGRC-4.5,0,45,0,0,0,0,0,0,0,0,0,0,0,0,3,0,52
OGHR-４LK,0,45,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,51.4
Lamet4013,0,46,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,50.4
OGRC-4.5H,0,45,0,0,0,0,0,0,0,0,0,0,0,0,5,0,50
SカバーM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
スーパーシリストNo.10,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
ハイカロイスーパー,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
カルバロイ,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
RS50,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
純Al,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
Fe-Si,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
スーパーシリストNo.3,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
ジルカロイ,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
カルバロイM2,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
BARINOC,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
ALINOC,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
ULTRASEED.Ce,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
PRESEED,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
ハイカロイ,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
ハイカロイスーパー,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
ニュークリアS,0,71,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,27.7
純Sn,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
